Thread  	Address                 	Instruction                     	Result                                  	
00000E9C	.vmp0:sub_4041EF+C9     	add     ebp, 4                  	EBP=0022FF44 CF=0 AF=0                  	
00000E9C	.vmp0:sub_4041EF+CC     	mov     [eax+edi], edx          	                                        	
00000E9C	.vmp0:sub_4041EF+CF     	jmp     loc_404214              	                                        	
00000E9C	.vmp0:sub_4041EF:loc_404214	mov     al, [esi]               	EAX=00000015                            	
00000E9C	.vmp0:sub_4041EF+27     	add     esi, 1                  	ESI=004049D3 PF=0                       	
00000E9C	.vmp0:sub_4041EF+2A     	movzx   eax, al                 	                                        	
00000E9C	.vmp0:sub_4041EF+2D     	jmp     ds:off_40445F[eax*4]    	                                        	
00000E9C	.vmp0:sub_4041EF:loc_4042AF	movzx   eax, byte ptr [esi]     	EAX=0000000C                            	
00000E9C	.vmp0:sub_4041EF+C3     	sub     esi, 0FFFFFFFFh         	ESI=004049D4 CF=1 PF=1 AF=1             	
00000E9C	.vmp0:sub_4041EF+C6     	mov     edx, [ebp+0]            	EDX=0022FF48                            	
00000E9C	.vmp0:sub_4041EF+C9     	add     ebp, 4                  	EBP=0022FF48 CF=0 AF=0                  	
00000E9C	.vmp0:sub_4041EF+CC     	mov     [eax+edi], edx          	                                        	
00000E9C	.vmp0:sub_4041EF+CF     	jmp     loc_404214              	                                        	
00000E9C	.vmp0:sub_4041EF:loc_404214	mov     al, [esi]               	EAX=0000001E                            	
00000E9C	.vmp0:sub_4041EF+27     	add     esi, 1                  	ESI=004049D5 PF=0                       	
00000E9C	.vmp0:sub_4041EF+2A     	movzx   eax, al                 	                                        	
00000E9C	.vmp0:sub_4041EF+2D     	jmp     ds:off_40445F[eax*4]    	                                        	
00000E9C	.vmp0:sub_4041EF:loc_4042AF	movzx   eax, byte ptr [esi]     	EAX=00000000                            	
00000E9C	.vmp0:sub_4041EF+C3     	sub     esi, 0FFFFFFFFh         	ESI=004049D6 CF=1 AF=1                  	
00000E9C	.vmp0:sub_4041EF+C6     	mov     edx, [ebp+0]            	EDX=00000000                            	
00000E9C	.vmp0:sub_4041EF+C9     	add     ebp, 4                  	EBP=0022FF4C CF=0 AF=0                  	
00000E9C	.vmp0:sub_4041EF+CC     	mov     [eax+edi], edx          	                                        	
00000E9C	.vmp0:sub_4041EF+CF     	jmp     loc_404214              	                                        	
00000E9C	.vmp0:sub_4041EF:loc_404214	mov     al, [esi]               	EAX=00000008                            	
00000E9C	.vmp0:sub_4041EF+27     	add     esi, 1                  	ESI=004049D7 PF=1                       	
00000E9C	.vmp0:sub_4041EF+2A     	movzx   eax, al                 	                                        	
00000E9C	.vmp0:sub_4041EF+2D     	jmp     ds:off_40445F[eax*4]    	                                        	
00000E9C	.vmp0:sub_4041EF:loc_4042AF	movzx   eax, byte ptr [esi]     	EAX=00000030                            	
00000E9C	.vmp0:sub_4041EF+C3     	sub     esi, 0FFFFFFFFh         	ESI=004049D8 CF=1 AF=1                  	
00000E9C	.vmp0:sub_4041EF+C6     	mov     edx, [ebp+0]            	EDX=77336194                            	
00000E9C	.vmp0:sub_4041EF+C9     	add     ebp, 4                  	EBP=0022FF50 CF=0                       	
00000E9C	.vmp0:sub_4041EF+CC     	mov     [eax+edi], edx          	                                        	
00000E9C	.vmp0:sub_4041EF+CF     	jmp     loc_404214              	                                        	
00000E9C	.vmp0:sub_4041EF:loc_404214	mov     al, [esi]               	EAX=0000009B                            	
00000E9C	.vmp0:sub_4041EF+27     	add     esi, 1                  	ESI=004049D9 PF=0 AF=0                  	
00000E9C	.vmp0:sub_4041EF+2A     	movzx   eax, al                 	                                        	
00000E9C	.vmp0:sub_4041EF+2D     	jmp     ds:off_40445F[eax*4]    	                                        	
00000E9C	.vmp0:sub_4041EF:loc_4042AF	movzx   eax, byte ptr [esi]     	EAX=00000004                            	
00000E9C	.vmp0:sub_4041EF+C3     	sub     esi, 0FFFFFFFFh         	ESI=004049DA CF=1 AF=1                  	
00000E9C	.vmp0:sub_4041EF+C6     	mov     edx, [ebp+0]            	EDX=0022FF88                            	
00000E9C	.vmp0:sub_4041EF+C9     	add     ebp, 4                  	EBP=0022FF54 CF=0 AF=0                  	
00000E9C	.vmp0:sub_4041EF+CC     	mov     [eax+edi], edx          	                                        	
00000E9C	.vmp0:sub_4041EF+CF     	jmp     loc_404214              	                                        	
00000E9C	.vmp0:sub_4041EF:loc_404214	mov     al, [esi]               	EAX=00000008                            	
00000E9C	.vmp0:sub_4041EF+27     	add     esi, 1                  	ESI=004049DB PF=1                       	
00000E9C	.vmp0:sub_4041EF+2A     	movzx   eax, al                 	                                        	
00000E9C	.vmp0:sub_4041EF+2D     	jmp     ds:off_40445F[eax*4]    	                                        	
00000E9C	.vmp0:sub_4041EF:loc_4042AF	movzx   eax, byte ptr [esi]     	EAX=0000003C                            	
00000E9C	.vmp0:sub_4041EF+C3     	sub     esi, 0FFFFFFFFh         	ESI=004049DC CF=1 PF=0 AF=1             	
00000E9C	.vmp0:sub_4041EF+C6     	mov     edx, [ebp+0]            	EDX=004048BB                            	
00000E9C	.vmp0:sub_4041EF+C9     	add     ebp, 4                  	EBP=0022FF58 CF=0 AF=0                  	
00000E9C	.vmp0:sub_4041EF+CC     	mov     [eax+edi], edx          	                                        	
00000E9C	.vmp0:sub_4041EF+CF     	jmp     loc_404214              	                                        	
00000E9C	.vmp0:sub_4041EF:loc_404214	mov     al, [esi]               	EAX=00000015                            	
00000E9C	.vmp0:sub_4041EF+27     	add     esi, 1                  	ESI=004049DD PF=1                       	
00000E9C	.vmp0:sub_4041EF+2A     	movzx   eax, al                 	                                        	
00000E9C	.vmp0:sub_4041EF+2D     	jmp     ds:off_40445F[eax*4]    	                                        	
00000E9C	.vmp0:sub_4041EF:loc_4042AF	movzx   eax, byte ptr [esi]     	EAX=0000003C                            	
00000E9C	.vmp0:sub_4041EF+C3     	sub     esi, 0FFFFFFFFh         	ESI=004049DE CF=1 AF=1                  	
00000E9C	.vmp0:sub_4041EF+C6     	mov     edx, [ebp+0]            	EDX=004049BC                            	
00000E9C	.vmp0:sub_4041EF+C9     	add     ebp, 4                  	EBP=0022FF5C CF=0 AF=0                  	
00000E9C	.vmp0:sub_4041EF+CC     	mov     [eax+edi], edx          	                                        	
00000E9C	.vmp0:sub_4041EF+CF     	jmp     loc_404214              	                                        	
00000E9C	.vmp0:sub_4041EF:loc_404214	mov     al, [esi]               	EAX=000000CC                            	
00000E9C	.vmp0:sub_4041EF+27     	add     esi, 1                  	ESI=004049DF PF=0                       	
00000E9C	.vmp0:sub_4041EF+2A     	movzx   eax, al                 	                                        	
00000E9C	.vmp0:sub_4041EF+2D     	jmp     ds:off_40445F[eax*4]    	                                        	
00000E9C	.vmp0:sub_4041EF:loc_404160	movzx   eax, byte ptr [esi]     	EAX=00000004                            	
00000E9C	.vmp0:sub_4041EF-8C     	mov     edx, [eax+edi]          	EDX=0022FF88                            	
00000E9C	.vmp0:sub_4041EF-89     	sub     ebp, 4                  	EBP=0022FF58                            	
00000E9C	.vmp0:sub_4041EF-86     	mov     [ebp+0], edx            	                                        	
00000E9C	.vmp0:sub_4041EF-83     	add     esi, 1                  	ESI=004049E0 AF=1                       	
00000E9C	.vmp0:sub_4041EF-80     	jmp     loc_404255              	                                        	
00000E9C	.vmp0:sub_4041EF:loc_404255	lea     eax, [edi+50h]          	EAX=0022FEB8                            	
00000E9C	.vmp0:sub_4041EF+69     	cmp     ebp, eax                	PF=1 AF=0                               	
00000E9C	.vmp0:sub_4041EF+6B     	ja      loc_404214              	                                        	
00000E9C	.vmp0:sub_4041EF:loc_404214	mov     al, [esi]               	EAX=0022FE3C                            	
00000E9C	.vmp0:sub_4041EF+27     	add     esi, 1                  	ESI=004049E1                            	
00000E9C	.vmp0:sub_4041EF+2A     	movzx   eax, al                 	EAX=0000003C                            	
00000E9C	.vmp0:sub_4041EF+2D     	jmp     ds:off_40445F[eax*4]    	                                        	
00000E9C	.vmp0:sub_4041EF:loc_40432D	mov     eax, ebp                	EAX=0022FF58                            	
00000E9C	.vmp0:sub_4041EF+140    	sub     ebp, 4                  	EBP=0022FF54 PF=0                       	
00000E9C	.vmp0:sub_4041EF+143    	mov     [ebp+0], eax            	                                        	
00000E9C	.vmp0:sub_4041EF+146    	jmp     loc_404255              	                                        	
00000E9C	.vmp0:sub_4041EF:loc_404255	lea     eax, [edi+50h]          	EAX=0022FEB8                            	
00000E9C	.vmp0:sub_4041EF+69     	cmp     ebp, eax                	PF=1 AF=1                               	
00000E9C	.vmp0:sub_4041EF+6B     	ja      loc_404214              	                                        	
00000E9C	.vmp0:sub_4041EF:loc_404214	mov     al, [esi]               	EAX=0022FE08                            	
00000E9C	.vmp0:sub_4041EF+27     	add     esi, 1                  	ESI=004049E2 AF=0                       	
00000E9C	.vmp0:sub_4041EF+2A     	movzx   eax, al                 	EAX=00000008                            	
00000E9C	.vmp0:sub_4041EF+2D     	jmp     ds:off_40445F[eax*4]    	                                        	
00000E9C	.vmp0:sub_4041EF:loc_4042AF	movzx   eax, byte ptr [esi]     	EAX=00000038                            	
00000E9C	.vmp0:sub_4041EF+C3     	sub     esi, 0FFFFFFFFh         	ESI=004049E3 CF=1 PF=0 AF=1             	
00000E9C	.vmp0:sub_4041EF+C6     	mov     edx, [ebp+0]            	EDX=0022FF58                            	
00000E9C	.vmp0:sub_4041EF+C9     	add     ebp, 4                  	EBP=0022FF58 CF=0 AF=0                  	
00000E9C	.vmp0:sub_4041EF+CC     	mov     [eax+edi], edx          	                                        	
00000E9C	.vmp0:sub_4041EF+CF     	jmp     loc_404214              	                                        	
00000E9C	.vmp0:sub_4041EF:loc_404214	mov     al, [esi]               	EAX=0000002D                            	
00000E9C	.vmp0:sub_4041EF+27     	add     esi, 1                  	ESI=004049E4 PF=1                       	
00000E9C	.vmp0:sub_4041EF+2A     	movzx   eax, al                 	                                        	
00000E9C	.vmp0:sub_4041EF+2D     	jmp     ds:off_40445F[eax*4]    	                                        	
00000E9C	.vmp0:sub_4041EF:loc_404160	movzx   eax, byte ptr [esi]     	EAX=00000008                            	
00000E9C	.vmp0:sub_4041EF-8C     	mov     edx, [eax+edi]          	EDX=7FFDF000                            	
00000E9C	.vmp0:sub_4041EF-89     	sub     ebp, 4                  	EBP=0022FF54 PF=0                       	
00000E9C	.vmp0:sub_4041EF-86     	mov     [ebp+0], edx            	                                        	
00000E9C	.vmp0:sub_4041EF-83     	add     esi, 1                  	ESI=004049E5                            	
00000E9C	.vmp0:sub_4041EF-80     	jmp     loc_404255              	                                        	
00000E9C	.vmp0:sub_4041EF:loc_404255	lea     eax, [edi+50h]          	EAX=0022FEB8                            	
00000E9C	.vmp0:sub_4041EF+69     	cmp     ebp, eax                	PF=1 AF=1                               	
00000E9C	.vmp0:sub_4041EF+6B     	ja      loc_404214              	                                        	
00000E9C	.vmp0:sub_4041EF:loc_404214	mov     al, [esi]               	EAX=0022FE3E                            	
00000E9C	.vmp0:sub_4041EF+27     	add     esi, 1                  	ESI=004049E6 PF=0 AF=0                  	
00000E9C	.vmp0:sub_4041EF+2A     	movzx   eax, al                 	EAX=0000003E                            	
00000E9C	.vmp0:sub_4041EF+2D     	jmp     ds:off_40445F[eax*4]    	                                        	
00000E9C	.vmp0:sub_4041EF:loc_40418F	movzx   eax, byte ptr [esi]     	EAX=00000014                            	
00000E9C	.vmp0:sub_4041EF-5D     	cbw                             	                                        	
00000E9C	.vmp0:sub_4041EF-5B     	cwde                            	                                        	
00000E9C	.vmp0:sub_4041EF-5A     	sub     ebp, 4                  	EBP=0022FF50 PF=1                       	
00000E9C	.vmp0:sub_4041EF-57     	add     esi, 1                  	ESI=004049E7                            	
00000E9C	.vmp0:sub_4041EF-54     	mov     [ebp+0], eax            	                                        	
00000E9C	.vmp0:sub_4041EF-51     	jmp     loc_404255              	                                        	
00000E9C	.vmp0:sub_4041EF:loc_404255	lea     eax, [edi+50h]          	EAX=0022FEB8                            	
00000E9C	.vmp0:sub_4041EF+69     	cmp     ebp, eax                	PF=0 AF=1                               	
00000E9C	.vmp0:sub_4041EF+6B     	ja      loc_404214              	                                        	
00000E9C	.vmp0:sub_4041EF:loc_404214	mov     al, [esi]               	EAX=0022FE3C                            	
00000E9C	.vmp0:sub_4041EF+27     	add     esi, 1                  	ESI=004049E8 PF=1 AF=0                  	
00000E9C	.vmp0:sub_4041EF+2A     	movzx   eax, al                 	EAX=0000003C                            	
00000E9C	.vmp0:sub_4041EF+2D     	jmp     ds:off_40445F[eax*4]    	                                        	
00000E9C	.vmp0:sub_4041EF:loc_40432D	mov     eax, ebp                	EAX=0022FF50                            	
00000E9C	.vmp0:sub_4041EF+140    	sub     ebp, 4                  	EBP=0022FF4C PF=0 AF=1                  	
00000E9C	.vmp0:sub_4041EF+143    	mov     [ebp+0], eax            	                                        	
00000E9C	.vmp0:sub_4041EF+146    	jmp     loc_404255              	                                        	
00000E9C	.vmp0:sub_4041EF:loc_404255	lea     eax, [edi+50h]          	EAX=0022FEB8                            	
00000E9C	.vmp0:sub_4041EF+69     	cmp     ebp, eax                	AF=0                                    	
00000E9C	.vmp0:sub_4041EF+6B     	ja      loc_404214              	                                        	
00000E9C	.vmp0:sub_4041EF:loc_404214	mov     al, [esi]               	EAX=0022FEB1                            	
00000E9C	.vmp0:sub_4041EF+27     	add     esi, 1                  	ESI=004049E9                            	
00000E9C	.vmp0:sub_4041EF+2A     	movzx   eax, al                 	EAX=000000B1                            	
00000E9C	.vmp0:sub_4041EF+2D     	jmp     ds:off_40445F[eax*4]    	                                        	
00000E9C	.vmp0:sub_4041EF:loc_40418F	movzx   eax, byte ptr [esi]     	EAX=00000004                            	
00000E9C	.vmp0:sub_4041EF-5D     	cbw                             	                                        	
00000E9C	.vmp0:sub_4041EF-5B     	cwde                            	                                        	
00000E9C	.vmp0:sub_4041EF-5A     	sub     ebp, 4                  	EBP=0022FF48 PF=1                       	
00000E9C	.vmp0:sub_4041EF-57     	add     esi, 1                  	ESI=004049EA PF=0                       	
00000E9C	.vmp0:sub_4041EF-54     	mov     [ebp+0], eax            	                                        	
00000E9C	.vmp0:sub_4041EF-51     	jmp     loc_404255              	                                        	
00000E9C	.vmp0:sub_4041EF:loc_404255	lea     eax, [edi+50h]          	EAX=0022FEB8                            	
00000E9C	.vmp0:sub_4041EF+69     	cmp     ebp, eax                	PF=1                                    	
00000E9C	.vmp0:sub_4041EF+6B     	ja      loc_404214              	                                        	
00000E9C	.vmp0:sub_4041EF:loc_404214	mov     al, [esi]               	EAX=0022FE4E                            	
00000E9C	.vmp0:sub_4041EF+27     	add     esi, 1                  	ESI=004049EB                            	
00000E9C	.vmp0:sub_4041EF+2A     	movzx   eax, al                 	EAX=0000004E                            	
00000E9C	.vmp0:sub_4041EF+2D     	jmp     ds:off_40445F[eax*4]    	                                        	
